github.com/AlDanial/cloc v 1.98  T=3.55 s (285.0 files/s, 88468.0 lines/s)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                          blank        comment           code
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_ghost_pad.go                                                                23             36            139
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camerasegment.go                                                                                14             30            138
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_message_stringer.go                                                         43              9            137
/Users/matthewdavis/workspace/nvr.ai/pkg/recorder/streams/muxer_segment_mpegts.go                                                                30              1            135
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/base/gst_base_src_impl.go                                                       32             72            135
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/util_test.go                                                                        8              0            134
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc-controller/t/main.go                                                                             31             34            134
/Users/matthewdavis/workspace/nvr.ai/pkg/h26x/stream/stream.go                                                                                   32             15            133
/Users/matthewdavis/workspace/nvr.ai/pkg/rest/registration/register.go                                                                           18              0            133
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst.go.c                                                                        36             12            133
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_pad_exports.go                                                              18             15            133
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_segment.go                                                                  39             99            133
/Users/matthewdavis/workspace/nvr.ai/pkg/agent/server/main.go                                                                                    37             29            131
/Users/matthewdavis/workspace/nvr.ai/pkg/go-gstreamer/pipelines/elements.go                                                                      19             14            131
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/net/private.go                                                                     17             29            131
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_debug.go                                                                    31             59            131
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/tx.go                                                                                           29             85            129
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/base/gst_base_sink_impl.go                                                      31             81            129
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/webrtc/monitoring.go                                                                             23             17            129
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/examples/decodebin/main.go                                                          27             62            128
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_bus.go                                                                      35            174            128
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/examples/requestpad/main.go                                                         22             10            127
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/session.go                                                                                      14             29            126
/Users/matthewdavis/workspace/nvr.ai/pkg/discovery/isapi/get_streaming_channels.go                                                               24            187            126
/Users/matthewdavis/workspace/nvr.ai/pkg/discovery/onvif/client.go                                                                               27             50            126
/Users/matthewdavis/workspace/nvr.ai/pkg/h26x/formatprocessor/mpeg4_video.go                                                                     27              3            125
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/app/cgo_exports.go                                                              13              8            123
/Users/matthewdavis/workspace/nvr.ai/pkg/kubernetes-controller/services/service.go                                                               28             11            122
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/location/location.go                                                                            20             44            121
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/app/gst_app_src.go                                                              35             62            121
/Users/matthewdavis/workspace/nvr.ai/pkg/go-streamer/bin/.lib/getoptions/examples/advanced.sh                                                    17              6            120
/Users/matthewdavis/workspace/nvr.ai/pkg/recorder/streams/h264_muxer.go                                                                          33             40            120
/Users/matthewdavis/workspace/nvr.ai/pkg/util/security/jwt_test.go                                                                               34              0            120
/Users/matthewdavis/workspace/nvr.ai/pkg/agent/record-options/main.go                                                                            29             68            119
/Users/matthewdavis/workspace/nvr.ai/pkg/go-streamer/main.go                                                                                     22             41            119
/Users/matthewdavis/workspace/nvr.ai/pkg/monitoring/logging/loggers/console.go                                                                   23             13            119
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/server/server.go                                                                                  8              0            119
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/registration.go                                                                                 11             20            118
/Users/matthewdavis/workspace/nvr.ai/pkg/gateway-tmp/wg-embed/pkg/wgembed/management.go                                                          14              8            118
